Abt,  Franz
Reznicek,  Emil  Nikolaus von
Rheinberger,  Joseph
Ries,  Ferdinand
Ries,  Franz
Rietz,  Julius
Rimsky-Korsakov,  Nikolai
Ritter,  Frederic  Louis
Rizzo,  Giovanni  Battista [Riccio]
Rode,  Jacques  Pierre Joseph
Romberg,  Bernhard
Rossi,  Francesco
Rossini,  Gioachino
Rubinstein,  Anton
Rucken,
Rudorff,  Ernst
Saar,  Louis  Victor
Saar,  Wiiliam
Saint-Saens [Saint-Saëns],  Camille
Sainton,  Prosper
Sarasate,  Pablo  de
Satter,  Gustave
Scharwenka,  Franz  Xaver
Scharwenka,  Philipp
Schelling,  Ernest
Schillings,  Max  Von
Schindelmeisser,  Ludwig
Schmitz,  Henry
Schneider,  Johann  C. Friedrich
Scholz,  Bernhard  E.
Schreck,  Gustav
Schreiber,  Louis
Schubert,  Franz
Schumann,  Georg
Schumann,  Robert
Schutz,  Heinrich
Scriabin,  Alexander
Servais,  Adrien  Francois
Sibelius,  Jean
Sieveking,  Martinus
Sinding,  Christian
Sinigaglia,  Leone
Smetana,  Bedrich
Sokolov,  Nikolai  Alexandrovich
Somervell,  Sir  Arthur
Spohr,  Louis
Spontini,  Gasparo
Stahlberg,  Fritz
Stanford,  Sir  Charles  Villiers
Stewart,  Humphrey  J.
Stigelli,  Giorgio
Stock,  Frederick  A.
Stojowski,  Sigismond
Storck,
Stradella,  Alessandro
Strauss,  Johann, II
Strauss,  Josef
Strauss,  Richard
Strong,  George  Templeton
Suk,  Josef
Sullivan,  Arthur  Seymour
Svendsen,  Johan
Tartini,  Giuseppe
Tchaikovsky,  Pyotr  Ilyich
Tcherepnin,  Nikolai
Tedesco,  Ignaz  Amadeus
Thomas,  Ambroise
Topliffe,
Traditional,
Unknown,
Unspecified,
Van Der Stucken,  Frank
Veit,  Wenzel  Heinrich
Verdi,  Giuseppe
Vidal,  Paul  Antonin
Vieuxtemps,  Henri
Vitols,  Jazeps
Volkmann,  Friedrich  Robert
Von Blon,  Franz
Wade,  John  Francis
Wagner,  Richard
Wagner,  Siegfried
Wallace,  William  Vincent
Weber,  Carl  Maria Von
Wehli,  James  M.
Weingartner,  Felix
Wengert,  Jules
Widor,  Charles  Marie
Wieniawski,  Henri
Wilhelmj,  August  Daniel Ferdinand
Wolf,  Hugo
Wolff,
Wood,  Mary  Knight
Zoellner,  Heinrich
